Data_Status,State,MSN,variable,value,Description,Unit,Code12,Energy Type,Code34,Sector
2017F,FL,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,FL,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,FL,TPOPP,1960,5004.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,GA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,GA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,GA,TPOPP,1960,3956.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,HI,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,HI,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,HI,TPOPP,1960,642.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IA,TPOPP,1960,2756.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ID,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ID,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ID,TPOPP,1960,671.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IL,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IL,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IL,TPOPP,1960,10086.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IN,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IN,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IN,TPOPP,1960,4674.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KS,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KS,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KS,TPOPP,1960,2183.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KY,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KY,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KY,TPOPP,1960,3041.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,LA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,LA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,LA,TPOPP,1960,3260.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MA,TPOPP,1960,5160.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MD,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MD,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MD,TPOPP,1960,3113.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ME,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ME,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ME,TPOPP,1960,975.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MI,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MI,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MI,TPOPP,1960,7834.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MN,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MN,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MN,TPOPP,1960,3425.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MO,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MO,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MO,TPOPP,1960,4326.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MS,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MS,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MS,TPOPP,1960,2182.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MT,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MT,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MT,TPOPP,1960,679.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NC,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NC,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NC,TPOPP,1960,4573.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ND,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ND,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ND,TPOPP,1960,634.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NE,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NE,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NE,TPOPP,1960,1417.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NH,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NH,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NH,TPOPP,1960,609.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NJ,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NJ,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NJ,TPOPP,1960,6103.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NM,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NM,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NM,TPOPP,1960,954.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NV,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NV,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NV,TPOPP,1960,291.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NY,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NY,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NY,TPOPP,1960,16838.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OH,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OH,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OH,TPOPP,1960,9734.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OK,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OK,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OK,TPOPP,1960,2336.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OR,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OR,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OR,TPOPP,1960,1772.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,PA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,PA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,PA,TPOPP,1960,11329.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,RI,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,RI,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,RI,TPOPP,1960,855.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SC,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SC,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SC,TPOPP,1960,2392.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SD,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SD,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SD,TPOPP,1960,683.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TN,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TN,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TN,TPOPP,1960,3575.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TX,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TX,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TX,TPOPP,1960,9624.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,US,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,US,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,US,TPOPP,1960,180671.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,UT,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,UT,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,UT,TPOPP,1960,900.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VA,TPOPP,1960,3986.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VT,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VT,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VT,TPOPP,1960,389.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WA,TPOPP,1960,2855.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WI,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WI,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WI,TPOPP,1960,3962.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WV,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WV,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WV,TPOPP,1960,1853.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WY,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WY,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WY,TPOPP,1960,331.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AK,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AK,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AK,TPOPP,1961,238.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AL,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AL,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AL,TPOPP,1961,3316.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AR,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AR,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AR,TPOPP,1961,1806.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AZ,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AZ,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AZ,TPOPP,1961,1407.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CA,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CA,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CA,TPOPP,1961,16497.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CO,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CO,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CO,TPOPP,1961,1844.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CT,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CT,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CT,TPOPP,1961,2586.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DC,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DC,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DC,TPOPP,1961,778.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DE,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DE,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DE,TPOPP,1961,461.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,FL,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,FL,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,FL,TPOPP,1961,5243.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,GA,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,GA,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,GA,TPOPP,1961,4015.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,HI,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,HI,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,HI,TPOPP,1961,659.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IA,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IA,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IA,TPOPP,1961,2756.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ID,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ID,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ID,TPOPP,1961,684.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IL,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IL,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IL,TPOPP,1961,10130.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IN,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IN,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IN,TPOPP,1961,4730.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KS,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KS,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KS,TPOPP,1961,2215.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KY,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KY,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KY,TPOPP,1961,3054.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,LA,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,LA,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,LA,TPOPP,1961,3287.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MA,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MA,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MA,TPOPP,1961,5219.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MD,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MD,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MD,TPOPP,1961,3176.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ME,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ME,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ME,TPOPP,1961,995.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MI,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MI,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MI,TPOPP,1961,7893.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MN,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MN,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MN,TPOPP,1961,3470.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MO,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MO,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MO,TPOPP,1961,4349.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MS,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MS,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MS,TPOPP,1961,2206.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MT,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MT,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MT,TPOPP,1961,696.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NC,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NC,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NC,TPOPP,1961,4663.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ND,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ND,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ND,TPOPP,1961,641.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NE,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NE,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NE,TPOPP,1961,1446.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NH,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NH,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NH,TPOPP,1961,618.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NJ,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NJ,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NJ,TPOPP,1961,6265.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NM,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NM,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NM,TPOPP,1961,965.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NV,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NV,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NV,TPOPP,1961,315.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NY,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NY,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NY,TPOPP,1961,17061.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OH,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OH,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OH,TPOPP,1961,9854.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OK,GDPRX,1961,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OK,TETGR,1961,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
