Jordan,0.0635,0.0585,0.0723,0.0723,NA
Kuwait,0,0,0,0,0
Lebanon,1.036,0.688,0.579,0.369,NA
Oman,0,0,0,0,0
Palestine,0,0,0,0,0
Qatar,0,0,0,0,0
Saudi Arabia,0,0,0,0,0
Syria,3.411,3.954,3.485,2.843,NA
United Arab Emirates,0,0,0,0,0
Yemen,0,0,0,0,0
Africa,91.76146,92.93972,96.16929,97.57348,NA
Algeria,0.549,0.216,0.224,0.28,0.31
Angola,2.197,2.638,3.078,3.804,NA
Benin,0.001,0.001,0.001,0.001,NA
Botswana,0,0,0,0,0
Burkina Faso,0.09947,0.07986,0.1103,0.13457,0.13097
Burundi,0.099,0.092,0.116,0.206,NA
Cameroon,3.734,3.853,3.809,4.19,NA
Cape Verde,0.0061,0.0061,0.0071,0.0065,NA
Central African Republic,0.099,0.109,0.129,0.13,NA
Chad,0,0,0,0,0
Comoros,0.005,0.005,0.002,0.002,NA
Congo (Brazzaville),0.351,0.368,0.332,0.371,NA
Congo (Kinshasa),7.319,7.45,7.747,7.409,NA
Cote dIvoire (IvoryCoast),1.5275,1.6014,1.8883,1.9911,NA
Djibouti,0,0,0,0,0
Egypt,13.042,13.381,16.144,15.41944,NA
Equatorial Guinea,0.007,0.007,0.003,0.002,NA
Eritrea,0.001,0.002,0.002,0.0019,0.0019
Ethiopia,2.805,3.226,3.351,3.2763,NA
Gabon,0.813,0.9426,0.7996,0.8916,NA
"Gambia, The",0,0,0,0,0
Ghana,5.573,5.563,3.69,6.133,NA
Guinea,0.489,0.456,0.533,0.5,NA
Guinea-Bissau,0,0,0,0,0
Kenya,4.25414,4.51173,4.72716,4.24626,NA
Lesotho,0.347,0.198,0.198,0.2,NA
Liberia,0,0,0,0,0
Libya,0,0,0,0,0
Madagascar,0.653,0.594,0.535,0.735,NA
Malawi,1.316,1.326,1.485,1.451,NA
Mali,0.255,0.263,0.268,0.275,NA
Mauritania,0.049,0.051,0.054,0.06,NA
Mauritius,0.113,0.07587,0.08302,0.1,NA
Morocco,1.1647,1.1619,1.1711,1.2031,NA
Mozambique,13.131,14.57,15.902,14.963,NA
Namibia,1.641,1.59,1.56,1.556,NA
Niger,0,0,0,0,0
Nigeria,7.69,6.2,6.165,5.664,NA
Reunion,0.574,0.574,0.651,0.633,NA
Rwanda,0.059,0.041,0.033,0.03,NA
Saint Helena,0,0,0,0,0
Sao Tome and Principe,0.004,0.008,0.01,0.01,NA
Senegal,0.31645,0.2835,0.231,0.2574,NA
Seychelles,0,0,0,0,0
Sierra Leone,0.018,0.018,0.018,0.018,NA
Somalia,0.011,0.012,0.015,0.015,NA
South Africa,1.6153,3.1653,1.2163,1.5443,NA
Sudan,1.248,1.356,1.436,1.448,NA
Swaziland,0.157,0.154,0.171,0.2,NA
Tanzania,1.76,1.422,2.486,2.628,NA
Togo,0.0749,0.0928,0.1005,0.0919,NA
Tunisia,0.1839,0.1271,0.0899,0.0751,NA
Uganda,1.839,1.16056,1.398,1.631,NA
Western Sahara,0,0,0,0,0
Zambia,8.794,9.746,9.703,9.569,NA
Zimbabwe,5.776,4.241,4.496,4.22,NA
Asia & Oceania,796.98674,872.22934,874.64156,978.58152,NA
Afghanistan,0.671,0.646,0.53,0.52,NA
American Samoa,0,0,0,0,0
Australia,17.8126,19.1407,18.6474,17.7797,17.1774
Bangladesh,1.28,1.375,1.378,1.459,1.366
Bhutan,2.62,4.574,6.494,7.063,NA
Brunei,0,0,0,0,0
Burma (Myanmar),2.967,3.291,2.994,3.988,NA
Cambodia,0.044,0.0539,0.057,0.0523,NA
China,397.3305,437.4596,437.7499,537.2981,576.8825
Cook Islands,0,0,0,0,0
Fiji,0.667,0.681,0.71,0.661,0.66
French Polynesia,0.13,0.147,0.163,0.17,NA
Guam,0,0,0,0,0
Hawaiian Trade Zone,--,--,--,--,--
Hong Kong,0,0.001,0.001,0.001,NA
India,108.8166,122.6895,132.4604,128.0984,121.781
Indonesia,16.9468,15.8841,17.87902,19.3502,NA
Japan,102.8456,114.5789,102.4292,103.9902,98.8421
Kiribati,0,0,0,0,0
"Korea, North",13.001,12.494,13.147,13.927,NA
"Korea, South",4.0531,4.0192,4.5631,4.3575,4.9092
Laos,3.135,3.241,3.336,3.6798,NA
Macau,0,0,0,0,0
Malaysia,5.135,6.379,6.424,7.385,8.641
Maldives,0,0,0,0,0
Mongolia,0,0,0,0,0
Nauru,0,0,0,0,0
Nepal,2.586,2.663,2.965,3.042,NA
New Caledonia,0.336,0.285,0.386,0.44,NA
New Zealand,27.1542,27.648,28.1938,27.6105,30.4571
Niue,0,0,0,0,0
Pakistan,30.553,31.633,28.42,27.506,27.075
Papua New Guinea,0.882,0.854,0.867,0.9,NA
Philippines,17.72744,19.83334,18.23824,19.61132,19.95198
Samoa,0.05,0.051,0.052,0.048,0.049
Singapore,0,0,0,0,NA
Solomon Islands,0,0,0,0,0
Sri Lanka,3.4349,3.8672,3.9282,4.107,NA
Taiwan,7.136,7.4774,8.3008,8.1525,NA
Thailand,8.8,11.0405,12.0175,11.64,NA
Timor-Leste (East Timor),0,0,0,0,0
Tonga,0,0,0,0,0
U.S. Pacific Islands,0.018,0.018,0.018,0.018,NA
Vanuatu,0,0,0,0,0
Vietnam,20.854,20.204,22.292,25.726,NA
Wake Island,0,0,0,0,0
World,3271.31431,3416.38834,3465.59258,3654.09342,NA
